,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,maxcut,14,2,0,561.9409624897617,0.03971324064374243,3111.439887801764,123.56536101281041,3145.261302816755,774.6137285126573,2,3145.2612991426013,774.6137285126573,2,[1.]
1,maxcut,14,27,0,78692.55173691161,0.00025856642894325933,5680077.905570047,1468.6774601627549,3222258.6430140263,9789.648894154643,2,2354133.9524472593,14454.103372092073,2,[3.52160878]
2,maxcut,14,52,0,205155.58591101193,0.00014158193331900677,20090639.014187157,2844.471513242882,11208477.455780752,19044.540192989836,2,4182224.190423717,29497.727024229982,2,[3.19417482]
3,maxcut,14,77,0,319129.6860292555,0.00012741036759544665,32986765.30494349,4202.855893287576,18328082.14562636,28201.239829965034,2,5230741.00778255,44941.191198506494,2,[3.5141595]
4,maxcut,14,102,0,426035.6645720203,0.0001247079938567704,44539554.81545421,5554.438528308951,24702593.91035426,37318.78850807511,2,5776733.5317437425,60469.600252537086,2,[3.68762842]
5,maxcut,14,127,0,530641.4050379297,0.00012409957186666298,55632041.727321856,6903.912560428973,30823495.395083107,46424.25041436787,2,6282363.87076068,76275.00203788195,2,[4.07712213]
6,maxcut,14,152,0,634611.8889374511,0.00012392311775452435,66596179.31536514,8252.806171299413,36874182.14778446,55526.46500377656,2,6524119.624075686,92021.13252205009,2,[4.14882077]
7,maxcut,14,177,0,738420.5021145876,0.00012384688114407976,77527586.30974722,9601.54976709065,42907197.78183095,64627.89894348833,2,6791576.808129757,107852.57024323907,2,[4.25314064]
8,maxcut,14,202,0,842189.6258657078,0.00012380018082343015,88451043.11473435,10950.255131625128,48936042.19818615,73729.17432957997,2,7042770.486913873,123749.16036741191,2,[4.36777907]
9,maxcut,14,227,0,945949.1221681251,0.00012376602021067242,99372590.36297314,12298.950027250605,54963945.67418361,82830.43339377885,2,7272831.870235842,139691.0994272246,2,[4.47980525]
10,maxcut,14,252,0,1049706.7450089538,0.00012373898837574212,110293789.74357311,13647.641966996538,60991713.63914416,91931.7071994866,2,7484562.199217235,155667.02710888232,2,[4.58366446]
11,maxcut,14,277,0,1153463.3513181815,0.0001237169987767303,121214806.47794425,14996.33206475343,67019407.78764555,101032.99370842069,2,7681184.112096122,171668.34090400292,2,[4.68501594]
12,maxcut,14,302,0,1257219.8539059404,0.00012369864085062893,132135820.24047108,16345.021371429297,73047112.25866397,110134.29334296395,2,7866658.378685541,187683.52426755844,2,[4.78862857]
13,maxcut,14,327,0,1360976.2764515933,0.00012368308354292963,143056831.71111163,17693.710067912245,79074820.13912793,119235.603128284,2,8317637.415309937,203363.47959503357,2,[5.08621555]
14,maxcut,14,352,0,1464732.6359362663,0.00012366973139476108,153977841.3770893,19042.39828384976,85102528.15364367,128336.9209253703,2,9549389.06041938,218479.0397237001,2,[5.41698761]
15,maxcut,14,377,0,1568488.9448548756,0.00012365814658175543,164898849.59666428,20391.086114587153,91130235.01070502,137438.24515673867,2,9217013.790133659,234844.8964064655,2,[5.38975341]
16,maxcut,14,402,0,1672245.2126058359,0.00012364799998916364,175819856.63915312,21739.773631812757,97157940.2621751,146539.57463352787,2,9285410.553934785,250926.8931617646,2,[5.43427685]
17,maxcut,14,427,0,1776001.4463943485,0.00012363903944370098,186740862.71091792,23088.46089046593,103185643.76620322,155640.90844279915,2,9146893.124631848,267247.89380190545,2,[5.42340855]
18,maxcut,14,452,0,1879757.6518368535,0.0001236310684705529,197661867.9727465,24437.14793335601,109213345.8041934,164742.24587180407,2,9183983.66524282,283425.73739095614,2,[5.45046854]
19,maxcut,14,477,0,1983513.8333761066,0.00012362393172016167,208582872.55177492,25785.834794335806,115241046.40347019,173843.586356029,2,9181435.894911433,299690.77938032686,2,[5.45824114]
20,maxcut,14,502,0,2087269.9945725168,0.00012361750474310795,219503876.54985237,27134.52150053196,121268745.7064113,182944.92944256295,2,9184200.842177477,316005.74176467693,2,[5.4550771]
21,maxcut,14,527,0,2191026.13831284,0.0001236116866711775,230424880.0495332,28483.208073926555,127296444.00863439,192046.27476375792,2,9252592.786633793,332245.73080941185,2,[5.47362784]
22,maxcut,14,552,0,2294782.2669622973,0.00012360639488471096,241345883.11843458,29831.89453253652,133324141.35711007,201147.6220181585,2,9319091.47997222,348534.6928892171,2,[5.4811379]
23,maxcut,14,577,0,2398538.382477268,0.0001236015610642964,252266885.81247485,31180.580891250498,139351837.87546572,210248.97095612157,2,9393484.570622047,364901.40876976604,2,[5.46802383]
24,maxcut,14,602,0,2502294.486490009,0.00012359712822522715,263187888.17829227,32529.267162499134,145379533.6668481,219350.32136932822,2,9500008.458820723,381141.9364987982,2,[5.49314669]
25,maxcut,14,627,0,2606050.5803730125,0.0001235930484603961,274108890.2550993,33877.95335672388,151407228.81799296,228451.67308233143,2,9606995.564848166,397354.9143801738,2,[5.52793599]
26,maxcut,14,652,0,2709806.6652888185,0.00012358928120200313,285029892.07610095,35226.639482769846,157434923.40236768,237553.02594652717,2,16794309.198255014,406050.659723393,2,[6.48278599]
27,maxcut,14,677,0,2813562.7422285983,0.00012358579186794803,295950893.6696007,36575.3255481845,163462617.48261216,246654.37983513676,2,9813244.21983671,429743.9142972743,2,[5.60950649]
