,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,maxcut,8,2,0,13.32644329688756,0.30904504656791687,23.971949947041487,7.408412387707209,26.95893078015255,10.911887294672269,2,26.958930680432175,10.911887294672269,2,[1.]
1,maxcut,8,502,0,4518.284926532951,0.0234375,29513.31355337149,691.7182864071442,3520.0666292526757,1210.24218164913,26,1601.0838776350695,724.3378470314851,4,[3.36844136]
2,maxcut,8,1002,0,8957.376628313841,0.0234375,58509.33912880138,1371.3126358312825,5484.580220566446,2160.2072379129077,32,2561.195694903792,1399.0061290568729,6,[12.03835597]
3,maxcut,8,1502,0,13396.364691398892,0.0234375,87504.68773910485,2050.89111888527,7197.699168803483,3091.8453382902526,37,3295.214665383761,2078.9094111255586,6,[12.64981123]
4,maxcut,8,2002,0,17835.326618282485,0.0234375,116499.86562845526,2730.46560066692,8775.935339711179,3952.202481658823,40,3833.7381853678603,2767.245401505555,5,[6.41487332]
5,maxcut,8,2502,0,22274.278054097424,0.0234375,145494.9749904322,3410.038476338255,10266.774144733477,4817.071181120645,43,4539.216840328551,3447.170756051859,5,[6.55067875]
6,maxcut,8,3002,0,26713.224234174504,0.0234375,174490.0500220732,4089.610547392341,11694.251704081875,5688.896762992962,46,5511.158662589947,4114.546201247845,5,[11.96866418]
7,maxcut,8,3502,0,31152.16740721611,0.0234375,203485.10541184075,4769.182158090018,13073.91942920406,6512.431746926762,48,5939.815260518322,4806.412784196982,5,[6.87634896]
8,maxcut,8,4002,0,35591.10869921455,0.0234375,232480.14851468574,5448.753480812948,14414.22236242713,7397.573510466466,51,6833.28970679444,5475.021235408443,5,[11.68045184]
9,maxcut,8,4502,0,40030.04873637052,0.0234375,261475.18342093407,6128.324611428143,15722.818596836269,8229.265186013323,53,7532.131208473218,6154.598863545431,5,[11.86694214]
10,maxcut,8,5002,0,44468.98789469701,0.0234375,290470.2125866923,6807.895607500601,17004.597163763425,9064.32146527521,55,8240.76157573007,6833.750720557163,5,[12.28628944]
11,maxcut,8,5502,0,48907.92641362024,0.0234375,319465.23757588596,7487.466505684827,18263.40507753388,9835.967239583915,56,8929.45959935588,7513.482784471455,5,[12.34617937]
12,maxcut,8,6002,0,53346.86445283539,0.0234375,348460.25943163945,8167.03733042905,19501.359276893356,10676.088059872389,58,9487.170733844488,8213.491494311767,10,[18.53476758]
13,maxcut,8,6502,0,57785.80212294482,0.0234375,377455.27887640457,8846.608098665733,20721.83966200817,11520.259347326713,60,10145.701495479148,8892.24839971472,9,[16.25407469]
14,maxcut,8,7002,0,62224.73950297659,0.0234375,406450.2964263903,9526.178822493523,21926.52388896288,12294.916787350294,61,11003.454652874121,9552.480477668723,5,[12.5643688]
15,maxcut,8,7502,0,66663.67665090103,0.0234375,435445.3124602573,10205.749510787282,23116.622752505795,13145.120663890288,63,11561.947782911524,10240.166448777965,4,[5.07190147]
16,maxcut,8,8002,0,71102.6136102065,0.0234375,464440.3272620704,10885.320170204774,24293.85884198816,13922.016202633227,64,12390.075187517712,10912.796670098478,6,[16.24842546]
17,maxcut,8,8502,0,75541.5504141558,0.0234375,493435.3410491012,11564.89080583831,25459.553076713135,14778.557063094033,66,12692.922755326073,11664.521876083454,8,[3.60587456]
18,maxcut,8,9002,0,79980.48708862482,0.0234375,522430.3539903703,12244.461421649303,26613.74235172054,15558.071141311415,67,13554.801085932553,12279.96626717311,4,[4.87119338]
19,maxcut,8,9502,0,84419.42365404521,0.0234375,551425.3662193369,12924.032020765708,27758.20665231039,16338.23322357639,68,15157.432426070514,12936.427840913286,3,[14.609331]
20,maxcut,8,10002,0,88858.36012676475,0.0234375,580420.3778427838,13603.602605690245,28893.5690613534,17119.12111193982,69,15274.03599306041,13627.441278955746,4,[10.11650055]
0,maxcut,8,2,1,17.230038574426988,0.18975265324115753,39.55417413374935,7.505509488641703,40.831169521402,11.059262489492244,2,40.83116930024027,11.059262489492244,2,[1.]
1,maxcut,8,502,1,3912.144000018108,0.03125,22130.428411128552,691.5758878477673,2906.1373002758196,1130.668377889104,23,1212.4743430854237,735.7455802127079,5,[3.231752]
2,maxcut,8,1002,1,7756.506134868166,0.03125,43877.424690242704,1371.1695215700845,4606.888506119003,2055.350993217475,29,2074.9683986416467,1396.4202823951427,6,[13.28881412]
3,maxcut,8,1502,1,11600.781201203867,0.03125,65623.92843546142,2050.7477636081694,6108.149946981665,2928.851328593247,33,2800.0570459905393,2073.642898719706,5,[11.80321378]
4,maxcut,8,2002,1,15445.034311995165,0.03125,87370.30798136548,2730.322124417671,7503.799954751461,3770.803296034152,36,3330.854682442925,2776.028013813255,5,[4.05973161]
5,maxcut,8,2502,1,19289.278610139216,0.03125,109116.6376754085,3409.894927356516,8830.202055006164,4619.25422627221,39,4154.455976808426,3433.8030135982895,5,[12.10948311]
6,maxcut,8,3002,1,23133.51849347393,0.03125,130862.94239551858,4089.4669498599555,10107.248315934161,5475.858539793864,42,4842.529950517854,4113.707066285315,5,[12.22990722]
7,maxcut,8,3502,1,26977.755850936283,0.03125,152609.23282713685,4769.038525848026,11345.905566922978,6287.19590141954,44,5507.192281379856,4802.7184066393365,5,[7.88815625]
8,maxcut,8,4002,1,30821.991628359574,0.03125,174355.51432070445,5448.609822522014,12554.224561886445,7101.638174795596,46,6221.462722686216,5472.966488615345,5,[12.65445881]
9,maxcut,8,4502,1,34666.22635174683,0.03125,196101.78985174382,6128.180932866994,13737.418616402634,7919.664458920352,48,6787.25913673404,6161.4468475549675,4,[4.91269037]
10,maxcut,8,5002,1,38510.46033694317,0.03125,217848.06120694475,6807.7519127170235,14899.55180101906,8741.567877316342,50,7499.480560424803,6843.087721918898,5,[7.73354422]
11,maxcut,8,5502,1,42354.693785061696,0.03125,239594.32952397477,7487.3227976242115,16042.950142893911,9503.621728500892,51,8564.9212941872,7498.774706079282,3,[14.7286881]
12,maxcut,8,6002,1,46198.92683024244,0.03125,261340.5955616445,8166.893611301391,17170.524213924775,10331.367587421273,53,8990.094717885939,8189.222689059887,4,[10.11504836]
13,maxcut,8,6502,1,50043.159565388305,0.03125,283086.8598454921,8846.464370171629,18284.074724693157,11095.420613571978,54,9945.064342726446,8857.964433476749,3,[15.02277138]
14,maxcut,8,7002,1,53887.39205688042,0.03125,304833.12275102595,9526.03508596956,19385.04087416637,11929.523016539919,56,10329.429965418864,9548.831941203882,4,[10.07557763]
15,maxcut,8,7502,1,57731.62435341197,0.03125,326579.3845536963,10205.60576730301,20474.38587441717,12696.138936173105,57,11322.755202750204,10217.107014684814,3,[15.33159953]
16,maxcut,8,8002,1,61575.856491511615,0.03125,348325.6454601405,10885.17642062939,21553.80627141576,13463.39717663637,58,12010.44044859713,10896.693782848073,3,[15.44847217]
17,maxcut,8,8502,1,65420.08849911891,0.03125,370071.9056284084,11564.747050887763,22623.97685599547,14306.350406103842,60,12775.760633079615,11578.985747009252,7,[40.91724852]
18,maxcut,8,9002,1,69264.32039796858,0.03125,391818.1651814504,12244.317661920324,23684.966182030734,15076.634627357857,61,13061.127566083742,12267.465882810926,4,[10.22252659]
19,maxcut,8,9502,1,73108.55220522243,0.03125,413564.42421634804,12923.888256760876,24738.15468255828,15847.766552721854,62,14117.04553053797,12935.192836768143,3,[16.13226566]
20,maxcut,8,10002,1,76952.78393461189,0.03125,435310.68281077826,13603.45883783682,25784.05987034611,16619.79927315989,63,14780.015378495613,13614.84206335779,3,[16.13246799]
0,maxcut,8,2,2,12.989304868511967,0.3244412839412689,22.804358218418454,7.398675259840311,25.7214039858421,10.897133628289481,2,25.44826594108044,8.984192181594834,2,[0.001]
1,maxcut,8,502,2,3193.3250377566987,0.046875,14749.336561270411,691.3751513095506,2270.920362794139,1052.813409911992,20,1136.5051369856749,735.7269063697486,5,[3.08408552]
2,maxcut,8,1002,2,6332.22900201454,0.046875,29247.312951067597,1370.9677945812937,3689.3385116629092,1921.0233217154662,25,1890.9033689933494,1405.5085642193806,5,[6.04736176]
3,maxcut,8,1502,2,9471.064909486393,0.046875,43744.97500003509,2050.545703126645,4966.279830322105,2771.980776985312,29,2657.7877518541127,2078.295935939101,6,[12.42977896]
4,maxcut,8,2002,2,12609.883657573451,0.046875,58242.55779319915,2730.1198965562103,6167.455406387395,3555.472395117688,31,3356.286321371121,2757.6929597740673,6,[13.07760234]
5,maxcut,8,2502,2,15748.695518461573,0.046875,72740.10877575392,3409.692598863465,7318.812531891458,4384.164471785485,34,4123.204023078214,3433.6548266301247,5,[11.87909731]
6,maxcut,8,3002,2,18887.5039292126,0.046875,87237.64382280805,4089.2645541941274,8435.095523461085,5174.667135983002,36,4736.9764795483225,4113.148555347254,4,[8.21019248]
7,maxcut,8,3502,2,22026.31036604985,0.046875,101735.16975274497,4768.836082159921,9523.952202239929,5968.678096734925,38,5469.460584919158,4793.4357023986295,5,[12.07344753]
8,maxcut,8,4002,2,25165.11556813645,0.046875,116232.68997961296,5448.407342794358,10590.867916069501,6766.644909907467,40,6145.732781771325,5473.244107361914,5,[12.15472362]
9,maxcut,8,4502,2,28303.919946534676,0.046875,130730.20640202728,6127.978425095029,11640.002810740547,7568.817703286476,42,6823.7049137020995,6153.018522751954,5,[12.2271709]
10,maxcut,8,5002,2,31442.723748069315,0.046875,145227.72016002284,6807.549382501071,12673.232241485202,8318.15661332307,43,7503.1632981032,6832.767650364681,5,[12.29190511]
11,maxcut,8,5502,2,34581.52712990373,0.046875,159725.2319795061,7487.120249039348,13693.83811808131,9126.711184307895,45,8136.730106816467,7533.981032421738,10,[17.68235899]
12,maxcut,8,6002,2,37720.33019686327,0.046875,174222.74234464462,8166.6910474052165,14702.28652789772,9878.59311000041,46,8783.781343175273,8200.73729072788,4,[4.74988506]
13,maxcut,8,6502,2,40859.133021547634,0.046875,188720.251590762,8846.261793316968,15700.977421109836,10631.148964195218,47,9547.747350958925,8870.25007955987,4,[9.13619938]
14,maxcut,8,7002,2,43997.93565583063,0.046875,203217.75995745315,9525.832498005617,16690.776610933353,11384.495832435476,48,10233.11994477708,9551.5919474025,5,[12.49981097]
15,maxcut,8,7502,2,47136.73813776358,0.046875,217715.2676204696,10205.403169709512,17671.87425388841,12204.468031600376,50,10917.379371196766,10231.15695606765,5,[12.61401114]
16,maxcut,8,8002,2,50275.54049589176,0.046875,232212.77471165627,10884.973814608888,18645.560755855477,12961.079886848584,51,11545.274726406893,10918.799472851142,4,[5.03721626]
17,maxcut,8,8502,2,53414.34275204841,0.046875,246710.28133185665,11564.54443743078,19612.532785086834,13718.661495776538,52,12353.875006415643,11587.772294560635,4,[9.91390022]
18,maxcut,8,9002,2,56553.14492321802,0.046875,261207.78755951865,12244.115041852438,20573.302768377598,14477.256887629133,53,12997.206292426523,12267.659470563858,4,[9.80884639]
19,maxcut,8,9502,2,59691.94702281151,0.046875,275705.2934565848,12923.685630777412,21528.332610502286,15236.90100577072,54,13887.848927983941,12935.596776204397,3,[14.91156615]
20,maxcut,8,10002,2,62830.7490615592,0.046875,290202.7990726162,13603.256206528884,22478.04116230263,15997.621863121949,55,14581.772873537893,13613.225827301832,2,[8.9735143]
0,maxcut,8,2,3,14.344305392714277,0.2687559127807617,27.669448881910554,7.436327990398498,30.35956760842973,10.954210775451154,2,30.35956606356391,10.954210716628683,2,[1.00000134]
1,maxcut,8,502,3,5535.351591035862,0.015625,44282.812728286895,691.9189488794827,4699.145019355259,1319.6814592710812,30,2627.504643193794,701.2632496139395,2,[5.74686005]
2,maxcut,8,1002,3,10972.114602328147,0.015625,87776.91681862518,1371.5143252910184,7170.804987578766,2340.6269642161756,37,3064.943441942041,1399.3779253032878,6,[12.14702256]
3,maxcut,8,1502,3,16408.745233885154,0.015625,131269.96187108124,2051.0931542356443,9286.11853460586,3304.835161217007,42,3773.5713916137247,2075.043837801605,4,[7.73393212]
4,maxcut,8,2002,3,21845.34247710306,0.015625,174762.73981682447,2730.6678096378823,11211.060436978476,4236.99166922225,46,4562.7439083844165,2754.1738069453863,4,[8.32429274]
5,maxcut,8,2502,3,27281.926317589,0.015625,218255.410540712,3410.240789698625,13011.885632206118,5179.68579838193,50,4999.961493097422,3447.4531710663373,5,[6.67771316]
6,maxcut,8,3002,3,32718.503443490525,0.015625,261748.0275479242,4089.8129304363156,14723.88364588343,6079.067245245388,53,6045.868574116961,4114.98159874767,5,[12.03396371]
