,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,rbm,13,2,0,15.065251559248768,0.1885056048631668,34.6987838905672,6.540915245307678,36.42629391754759,9.616728724407311,2,36.42629305759016,9.61672870912512,2,[1.0000003]
1,rbm,13,502,0,62636.409960638026,0.0001220703125,5669200.669740514,692.0410973804338,411558.85810983507,2100.172949110605,57,133027.6569586371,738.4555344967785,5,[3.08051609]
2,rbm,13,1002,0,124146.41938731927,0.0001220703125,11236451.201126724,1371.6371095125396,573165.1878893167,3998.5670680683475,79,139272.69966144295,1433.9474432079755,6,[3.18820137]
3,rbm,13,1502,0,185654.89295108416,0.0001220703125,16803562.722070295,2051.2161525964716,697921.0138324772,5869.581458291243,96,196081.43544797966,2074.9927041426226,5,[11.72149024]
4,rbm,13,2002,0,247162.97911639028,0.0001220703125,22370639.17970798,2730.790915491697,803419.961253315,7704.201458231706,110,181860.04837979085,2753.7802991111307,4,[8.66246762]
5,rbm,13,2502,0,308670.9097677488,0.0001220703125,27937701.561829902,3410.3639601843142,896586.9313306124,9504.20588307856,122,169043.9310553479,3447.0456833621474,5,[6.92330511]
6,rbm,13,3002,0,370178.7625074649,0.0001220703125,33504756.892194938,4089.936144066765,980984.885129196,11304.395102555573,133,185548.92985307926,4113.536571408602,4,[8.91787905]
7,rbm,13,3502,0,431686.5706692942,0.0001220703125,39071808.18783024,4769.507835428496,1058737.6383622785,13088.266478157906,143,187586.21044651768,4809.986795528866,7,[11.88703083]
8,rbm,13,4002,0,493194.35094499163,0.0001220703125,44638856.959501,5449.079218689087,1131226.876348941,14922.971311461633,153,197167.45379749069,5474.200070806265,5,[12.67467053]
9,rbm,13,4502,0,554702.1126175988,0.0001220703125,50205904.04741224,6128.650396412627,1199416.043938327,16633.70778714414,161,179734.39370443602,6181.966998115122,7,[8.38339848]
10,rbm,13,5002,0,616209.8612613762,0.0001220703125,55772949.95608842,6808.221430186574,1264002.8316795644,18468.743260141964,170,171198.61514723027,6843.275313676957,4,[4.8116027]
11,rbm,13,5502,0,677717.6004257818,0.0001220703125,61339995.0067898,7487.792359227271,1325516.7742186012,20152.616623200232,177,196826.9450952476,7511.460562839059,4,[9.69724504]
