,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,maxcut,15,2,0,12.856865017196398,0.33081114292144775,22.35347359453668,7.394778148073082,25.733757967912155,10.891230046309195,2,25.73375785816344,10.891230044415732,2,[1.00000004]
1,maxcut,15,27,0,1444.7563870739402,0.0010440433397889137,44713.159563148794,46.68247644282447,17548.277396999936,99.76291655566189,7,15974.106326366496,82.37079015306773,5,[1.31719821]
2,maxcut,15,52,0,3871.3333218197554,0.00044329295633360744,183871.80963789579,81.50907808079312,49731.187006026055,190.32443921836577,11,40316.10195202932,143.9991538148451,7,[1.63108808]
3,maxcut,15,77,0,5933.629510790739,0.0003805442538578063,304171.025288541,115.75053586359176,65472.4118016938,288.57774349530047,15,47974.30609711417,148.3904783136156,4,[2.22247054]
4,maxcut,15,102,0,7799.216379119065,0.0003691416059155017,405933.1051023027,149.84679831173017,74231.82358523492,380.52477227833106,18,54259.213897866255,171.10039904189475,3,[2.90266517]
5,maxcut,15,127,0,9601.442267426723,0.00036682223435491323,501312.6330526507,183.89262016671807,80782.24246091853,477.0652043782104,21,56226.56829553521,205.78003235975535,3,[2.97501205]
6,maxcut,15,152,0,11385.359512463652,0.00036633890704251826,594846.9321101727,217.91557496683572,86479.98807324066,578.1815381668613,24,70390.2343344409,240.6506220343386,4,[6.02317972]
7,maxcut,15,177,0,13164.105510395599,0.000366237829439342,687875.3610880817,251.92597916970269,91725.15548666005,683.7822317784759,27,55182.16814336003,310.9268270882844,6,[2.73082033]
8,maxcut,15,202,0,14941.305890259391,0.0003662166418507695,780763.5303071439,285.92859814863374,96627.15107325336,774.2810904397974,29,53853.402817211325,364.2867110313205,7,[2.20238699]
9,maxcut,15,227,0,16717.95519373537,0.0003662121598608792,873608.3503804079,319.9260008653089,101278.20751374695,866.7749504665218,31,54817.39781797548,369.7065124455125,5,[2.58846418]
10,maxcut,15,252,0,18494.34421758942,0.00036621122853830457,966436.020463287,353.9197223575304,105711.95064805333,961.2865604495489,33,56889.92052953095,429.7152587676656,7,[2.70425939]
11,maxcut,15,277,0,20270.579028141492,0.0003662109375,1059254.9420737787,387.9107453883467,109956.08925089258,1057.8211486956488,35,59188.998415728805,459.75627370581765,7,[3.21481977]
12,maxcut,15,302,0,22046.69997747455,0.0003662109375,1152067.5297502298,421.8997301331408,114033.86670017443,1156.3735937937997,37,59189.82736331207,511.7236022753881,8,[2.86889506]
13,maxcut,15,327,0,23822.738514918605,0.0003662109375,1244875.8109290425,455.88713779139744,117965.04080881349,1256.9325844202538,39,70561.91271407713,481.52172422610516,4,[6.1336389]
14,maxcut,15,352,0,25598.711969347383,0.0003662109375,1337680.6911440506,489.8732999795107,121766.28847516864,1359.4831037526508,41,57469.50559481816,541.3183429862565,5,[2.78254621]
15,maxcut,15,377,0,27374.63312947021,0.0003662109375,1430482.8386792499,523.8584614303893,125451.77789412573,1464.0079828741086,43,62047.49675259772,578.718038381174,6,[4.20428159]
16,maxcut,15,402,0,29150.511639337794,0.0003662109375,1523282.757492044,557.8428066987466,129033.5881799736,1570.4888838119905,45,62277.02392468666,643.713091156053,8,[3.54026458]
17,maxcut,15,427,0,30926.35490893297,0.0003662109375,1616080.8347968743,591.826477586746,132514.1679328593,1651.0229565019108,46,67485.7094321653,636.951381610063,6,[6.15007914]
