,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
0,13.414910017316592,24.28304273639879,7.410925093952595,27.28864006151653,10.915695297528423,27.28863994258991,10.915695295784925,[1.00000004],2,2,0.305189311504364,2,maxcut,7,0
1,359.4833754799725,2837.362088220278,45.545225892382575,1167.0394486430528,95.83259015350238,1001.8408747802291,60.62600306236858,[2.4436558],3,7,0.016051961109042168,27,maxcut,7,0
2,639.1576637067989,5112.794459640575,79.90200316088045,1508.5092278344985,171.91736403454044,1268.3572957604968,100.10905150296034,[4.28448865],4,10,0.015627853572368622,52,maxcut,7,0
3,912.1655079109255,7297.319713747207,114.02075645047178,1771.5107330531089,252.95948953610292,1439.4847311195217,137.61737489820635,[6.19687004],5,13,0.015625018626451492,77,maxcut,7,0
4,1184.5860922692373,9476.688738153898,148.07326153365466,2009.1952019153362,325.63976381166196,1319.7630988498242,224.18571353113379,[1.94900078],8,15,0.015625,102,maxcut,7,0
5,1456.7800792931025,11654.24063434482,182.09750991163781,2229.258622552279,400.57598757083025,1539.5615685232074,216.49457972142798,[5.78788416],6,17,0.015625,127,maxcut,7,0
6,1728.856758419339,13830.854067354712,216.10709480241738,2436.7665634142295,461.8254845298412,1443.418374303842,264.63607083581536,[3.20769596],6,18,0.015625,152,maxcut,7,0
7,2000.8647613090907,16006.918090472725,250.10809516363634,2633.039538373702,540.3716859122098,1554.78159274378,269.4324704660617,[3.42837558],3,20,0.015625,177,maxcut,7,0
8,2272.8291016807266,18182.632813445813,284.1036377100908,2821.158352011186,603.1461941659447,1628.7388085949342,303.46688969276676,[3.56331026],3,21,0.015625,202,maxcut,7,0
9,2544.763960725379,20358.111685803033,318.0954950906724,3002.1689682460014,666.3368331168085,1601.3535617680654,380.9709537696891,[3.20924176],7,22,0.015625,227,maxcut,7,0
10,2816.6779782744998,22533.423826195998,352.08474728431247,3177.0013538406897,730.0265843417471,1739.6487524368852,391.1639346262091,[5.70513733],6,23,0.015625,252,maxcut,7,0
11,3088.5767185794075,24708.61374863526,386.07208982242594,3346.471011500462,794.2711991478631,1873.7383798545957,408.64993203074073,[6.0068185],4,24,0.015625,277,maxcut,7,0
12,3360.4639270242687,26883.71141619415,420.0579908780336,3511.2783983102195,859.10879866564,1825.9144258956674,459.9795291709296,[5.76957358],6,25,0.015625,302,maxcut,7,0
13,3632.3422171824227,29058.73773745938,454.04277714780284,3671.8692131690727,902.2099105884413,1922.0944948708402,499.98374460327636,[6.43215992],7,25,0.015625,327,maxcut,7,0
14,3904.213468313505,31233.70774650804,488.0266835391881,3828.221503011067,967.5453284648221,1821.2837709368373,537.4126163833776,[4.08793047],6,26,0.015625,352,maxcut,7,0
15,4176.079066331269,33408.63253065015,522.0098832914086,3981.3901953357085,1033.552336831676,1775.2608362046067,581.2142646538005,[2.71406164],6,27,0.015625,377,maxcut,7,0
16,4447.940055725784,35583.52044580627,555.992506965723,4131.56760445484,1075.8117365352691,2014.3796733943418,604.921182301253,[6.10989333],7,27,0.015625,402,maxcut,7,0
17,4719.797238602477,37758.37790881981,589.9746548253096,4278.388219028944,1142.4784440292717,2077.7282951900775,610.6906378679959,[3.83976444],3,28,0.015625,427,maxcut,7,0
18,4991.651241136764,39933.20992909411,623.9564051420955,4423.03365974374,1209.8428562669965,1914.4491296921287,669.9156934044179,[3.0017009],5,29,0.015625,452,maxcut,7,0
19,5263.502559301349,42108.02047441079,657.9378199126686,4564.723993340236,1251.5818744703754,1947.574866216088,732.5446994824553,[2.68385132],7,29,0.015625,477,maxcut,7,0
20,5535.351591035862,44282.812728286895,691.9189488794827,4704.5199950709475,1319.6814592710812,2396.4971448078873,722.9994863808378,[12.11028985],7,30,0.015625,502,maxcut,7,0
0,17.23003786220401,39.55417094565064,7.505509473094591,40.83116622777827,11.059262465857934,40.831164399944505,11.059262465857934,[1.],2,2,0.18975266814231873,2,maxcut,7,1
1,256.02102968485156,1448.0949061627266,45.264137980142834,577.6193675544233,102.71872929643177,485.8859871256914,92.80209219429827,[1.48269392],7,8,0.031257715076208115,27,maxcut,7,1
2,450.2083903228379,2546.76324595487,79.58635143608969,779.1253550888571,180.51330987597166,504.7048957006705,95.82853379667048,[2.89369691],3,11,0.03125,52,maxcut,7,1
3,643.1601121536323,3638.263013540271,113.69571917313347,953.128699986311,250.9121777447931,553.9911539057055,151.0971630776183,[2.3783402],5,13,0.03125,77,maxcut,7,1
4,835.7619274997044,4727.7834111406455,147.74323159814517,1110.3683301521617,309.80543609415736,619.5485576707196,174.28096957198312,[3.15335665],4,14,0.03125,102,maxcut,7,1
5,1028.2145286583188,5816.459725830617,181.76436643220677,1256.1179662543195,368.3809591075899,657.2080809805516,199.713067590808,[3.39971969],3,15,0.03125,127,maxcut,7,1
6,1220.5897594538997,6904.698367653676,215.77182398917736,1393.0251772162128,427.0926104663685,801.8973384252115,223.99165746584313,[4.76769933],2,16,0.03125,152,maxcut,7,1
7,1412.9197196206267,7992.680920127525,249.77127875398514,1523.076698419152,486.1789701461674,853.8569821334072,257.99788239583654,[4.98583701],2,17,0.03125,177,maxcut,7,1
8,1605.220909122327,9080.500721142658,283.76564753570807,1647.7317497833371,545.7758334402323,910.3391566573205,292.4449048120608,[4.81019201],2,18,0.03125,202,maxcut,7,1
9,1797.5026780725523,10168.210662928652,317.75658321652037,1767.500067412802,587.3912194284264,817.3539275859691,373.37384685401344,[2.52219523],6,18,0.03125,227,maxcut,7,1
10,1989.7707209940643,11255.84295857079,351.7450924553372,1883.3213907408249,647.3588519316627,841.5414478632674,394.09944366672056,[2.90802888],5,19,0.03125,252,maxcut,7,1
11,2182.028704282095,12343.418348332523,385.73182338539135,1996.028215436111,687.9251438147485,889.4015098134863,441.29646733936613,[2.73511598],6,19,0.03125,277,maxcut,7,1
12,2374.2790952960954,13430.950789706641,419.71721217833255,2105.3318692776643,748.5331630849801,1003.8032836968086,455.89602390561254,[6.51701683],6,20,0.03125,302,maxcut,7,1
13,2566.5236154731765,14518.450020611988,453.70156314412463,2212.4652780175757,788.3988527716201,1031.4081183830751,484.80142083934805,[5.79833727],5,20,0.03125,327,maxcut,7,1
14,2758.763502402404,15605.923041909522,487.68509505967256,2316.817956353213,849.777622436589,992.3559506449536,531.0007496605986,[3.06279494],5,21,0.03125,352,maxcut,7,1
15,2950.9996686597024,16693.375015908245,521.6679692471326,2419.3925822953556,889.1525143729315,1067.25706350931,540.9301168745873,[4.09647829],3,21,0.03125,377,maxcut,7,1
16,3143.2328019277625,17780.809832728904,555.6503072727783,2519.912849233719,951.3682192625339,1066.674016723972,599.1412783520498,[3.15538466],5,22,0.03125,402,maxcut,7,1
17,3335.4634302535223,18868.23047945607,589.6322024830022,2618.657475921634,990.3877290722857,1248.6057518490124,614.3817561292619,[11.76256443],6,22,0.03125,427,maxcut,7,1
