,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
0,10.99258401958128,16.473987918325594,7.335012264585628,20.049444783368372,10.800787272660507,17.24390681443233,7.677817211006466,[1000.],5,2,0.4452481269836426,2,maxcut,12,0
1,545.9036984951435,6494.1315862631045,45.889253100607405,2912.7090674360625,88.98130999002404,2655.540658740359,70.55291062114708,[1.81569736],4,6,0.007066264748573303,27,maxcut,12,0
2,1232.8863929136305,18884.182763865574,80.49111136226044,5756.189878061426,164.46609261912806,4966.846621640079,99.45466308812956,[2.25658275],3,9,0.004262356087565422,52,maxcut,12,0
3,1820.922968736515,28917.77296500755,114.66168096984839,6969.9266271456945,244.83520820152995,5343.711118286607,156.51485273866393,[2.0005376],5,12,0.00396509375423193,77,maxcut,12,0
4,2376.538635460745,37974.3305219973,148.73036096228088,7750.218557439426,330.4382112523025,5718.1170077537045,180.49277030564474,[2.33402848],4,15,0.003916602581739426,102,maxcut,12,0
5,2923.5056337302763,46765.06721159252,182.76217057021546,8393.441111886383,406.0996727415169,6943.62721961668,211.4382959954126,[5.69529146],5,17,0.003908091690391302,127,maxcut,12,0
6,3468.276167954931,55490.077050524036,216.77640790175371,8979.467938986549,484.0970202649683,6116.558498687207,249.87172744294983,[2.51447305],4,19,0.003906579688191414,152,maxcut,12,0
7,4012.4608992093677,64198.89224358731,250.78068958880246,9527.8995255958,564.4646168771029,6241.37386658457,353.86822938711333,[1.84309084],9,21,0.003906308673322201,177,maxcut,12,0
8,4556.4527743787985,72903.14010135691,284.7787057770071,10047.788701409212,647.1931039443548,6461.610484503102,402.9868658337177,[1.95685726],10,23,0.003906261175870895,202,maxcut,12,0
9,5100.3582198039285,81605.70233239468,318.7725027396151,10544.404312857961,712.735006387885,6553.315533824853,412.1810036726388,[1.81036685],8,24,0.003906252793967724,227,maxcut,12,0
10,5644.21309360508,90307.40949768128,352.7633183503175,11019.385175878286,799.0835450896767,6330.220633244628,414.0892868608478,[2.36598591],6,26,0.00390625,252,maxcut,12,0
11,6188.03116697941,99008.49867167056,386.7519479362131,11478.893696757868,887.7268152176496,6511.185167555992,476.2916451809478,[2.35039445],8,28,0.00390625,277,maxcut,12,0
12,6731.822835177094,107709.1653628335,420.7389271985684,11922.285111071249,956.2837646147196,6629.689107794807,468.8317099540188,[2.61305254],5,29,0.00390625,302,maxcut,12,0
13,7275.594077587088,116409.5052413934,454.724629849193,12353.88164920229,1048.4692289954542,7028.301297180776,489.6898809279968,[2.88570822],4,31,0.00390625,327,maxcut,12,0
14,7819.349194940196,125109.58711904314,488.70932468376225,12771.870043136678,1118.8159279218237,7659.446798154229,539.877740052435,[5.8823149],7,32,0.00390625,352,maxcut,12,0
15,8363.09135976287,133809.4617562059,522.6932099851794,13179.985067868323,1189.6904931321646,6903.988423238347,571.5329482975803,[2.69942524],5,33,0.00390625,377,maxcut,12,0
16,8906.822963559993,142509.16741695988,556.6764352224995,13578.778473840977,1261.1143093861858,7239.766876919672,637.9121376417763,[3.4841229],8,34,0.00390625,402,maxcut,12,0
17,9450.545843223901,151208.73349158242,590.6591152014938,13968.5580063719,1359.3284081338543,7443.072053642576,637.2112243862969,[3.20389444],5,36,0.00390625,427,maxcut,12,0
18,9994.261432999247,159908.18292798795,624.6413395624529,14349.584574225484,1432.5894553203764,6945.238440486061,703.6682333452953,[2.50126183],7,37,0.00390625,452,maxcut,12,0
19,10537.97086907725,168607.533905236,658.6231793173281,14723.237009199172,1506.4219195305377,8368.85383694942,712.6846471995689,[7.53792174],8,38,0.00390625,477,maxcut,12,0
20,11081.675063196044,177306.8010111367,692.6046914497527,15089.967123973736,1580.8339393247984,7935.7913698834955,746.6627065822709,[5.84875696],7,39,0.00390625,502,maxcut,12,0
0,12.030317792069527,19.638928752127015,7.369472541240804,23.108778139673525,10.85291383506384,20.551129670820586,7.711774288309306,[1000.],5,2,0.3752481937408447,2,maxcut,12,1
1,835.4517186367276,15095.539235961785,46.23747209442375,6261.256083616173,98.23168452584365,5620.345854306506,62.93992015727904,[2.06310835],3,7,0.0030629890970885754,27,maxcut,12,1
2,2002.0194529184337,49529.175405937254,80.92365473509093,14047.55405051587,176.9057371798578,11253.854883477508,110.24079935321626,[2.09549594],4,10,0.0016338583081960678,52,maxcut,12,1
3,2983.7529814807685,77336.24061808045,115.11785138950748,17397.085044236163,272.071821170146,12989.847428426945,146.2890551632928,[2.28707756],4,14,0.0014885369455441833,77,maxcut,12,1
4,3893.577496978189,101611.66273368453,149.194938032929,19379.76751128721,361.4784317869803,17162.33615947701,192.9063664029519,[5.54750567],7,17,0.0014682855689898133,102,maxcut,12,1
