,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,rbm,15,2,0,388.3309881824272,0.07808921839064317,1531.8935361439856,119.62436889516232,2539.481326720582,173.46133976358675,2,1933.7007547890887,151.00117674538367,2,[46.26640406]
1,rbm,15,502,0,7516186.031425405,1.1237954976646179e-05,2629197378.239455,29546.80176137117,4028123152.6514387,32706.522460048363,2,121174492.53215185,31952.010945575836,2,[6.44926205]
2,rbm,15,1002,0,14988541.397478646,1.1232387588097978e-05,5245404612.648208,58918.41766566161,8040653693.547597,65157.629482362376,2,136241403.65043375,63657.16695818044,2,[7.22356501]
3,rbm,15,1502,0,22460892.49366246,1.1230525001844515e-05,7861611444.858817,88290.02388627392,12053190115.217997,97608.69386434063,2,162068944.28344455,95321.72642348139,2,[8.00995561]
4,rbm,15,2002,0,29933242.516724512,1.1229592430177048e-05,10477818176.097893,117661.62767508038,16065728018.732294,130059.74752247796,2,153015323.3771825,127058.6808484749,2,[8.12741946]
5,rbm,15,2502,0,37405592.10962837,1.122903247735018e-05,13094024866.880474,147033.23048943173,20078266516.869118,162510.79688077164,2,158394017.3887919,158765.95415033717,2,[8.3949746]
6,rbm,15,3002,0,44877941.48719936,1.122865900453965e-05,15710231537.416107,176404.83281601017,24090805312.83846,194961.8440863022,2,162469578.77623907,190507.72925324665,2,[8.46518151]
7,rbm,15,3502,0,52350290.741630115,1.1228392154479235e-05,18326438196.37498,205776.43486372542,28103344279.19342,227412.89006061028,2,186035587.31324306,222126.62693532396,2,[9.00878925]
8,rbm,15,4002,0,59822639.91905514,1.122819197110824e-05,20942644848.095093,235148.03673715267,32115883352.104668,259863.9352650812,2,172314018.86262575,253880.64578783393,2,[9.00842307]
9,rbm,15,4502,0,67294989.04512714,1.1228036245756242e-05,23558851494.98857,264519.6384941203,36128422496.13208,292314.9799558348,2,171691614.667854,285635.923448503,2,[9.00822661]
10,rbm,15,5002,0,74767338.1352376,1.122791164836093e-05,26175058138.501778,293891.2401698087,40140961689.93305,324766.0242870812,2,177843041.84912398,317302.9114050204,2,[9.27301289]
11,rbm,15,5502,0,82239687.1991872,1.1227809693717755e-05,28791264779.55636,323262.84178629745,44153500919.94019,357217.0683568375,2,177682655.84043735,349083.75734280836,2,[9.20137584]
12,rbm,15,6002,0,89712036.24351576,1.1227724723727078e-05,31407471418.76713,352634.44335824327,48166040177.13951,389668.112230222,2,183470465.44698852,380721.33871304855,2,[9.50525051]
13,rbm,15,6502,0,97184385.27274835,1.1227652820528161e-05,34023678056.55772,382006.0448964524,52178579455.25753,422119.15595254727,2,181334204.2224044,412479.44523716497,2,[9.49742408]
14,rbm,15,7002,0,104656734.2901139,1.1227591185155503e-05,36639884693.236275,411377.6464068936,56191118749.778366,454570.1995564278,2,229697031.89432847,444422.7120265415,2,[9.0078428]
15,rbm,15,7502,0,112129083.2979931,1.1227537764847377e-05,39256091329.01964,440749.24789686565,60203658057.49635,487021.24306502077,2,229702230.98727173,475733.27107178216,2,[10.00836639]
16,rbm,15,8002,0,119601432.29815209,1.1227491019766831e-05,41872297964.08029,470120.84936871246,64216197375.83659,519472.28649691364,2,212424393.47805065,507486.2591805356,2,[10.00808014]
17,rbm,15,8502,0,127073781.29196231,1.1227449772338884e-05,44488504598.54267,499492.4508266053,68228736703.009094,551923.3298650384,2,201634835.64592794,539239.677308777,2,[10.00819135]
18,rbm,15,9002,0,134546130.2804794,1.1227413106538008e-05,47104711232.510506,528864.0522715766,72241276037.52502,584374.3731801459,2,195552359.30147615,570993.7474443794,2,[10.00815053]
19,rbm,15,9502,0,142018479.26453146,1.122738029918964e-05,49720917866.05766,558235.653707002,76253815378.16168,616825.4164510601,2,192986217.10558417,602748.1450149,2,[10.00836988]
20,rbm,15,10002,0,149490828.2447999,1.1227350771681228e-05,52337124499.24758,587607.2551342038,80266354724.10455,649276.459683669,2,192991525.14055547,634503.3673265129,2,[10.00792051]
0,rbm,15,2,1,414.68082609696313,0.06925942670848223,1737.2904099339273,120.32373781816788,2851.7708583067356,174.356977745508,2,2192.05594654468,151.82053584886995,2,[47.70584541]
1,rbm,15,502,1,7516186.031425405,1.1237954976646179e-05,2629197378.239455,29546.80176137117,4028123152.6514387,32706.522460048363,2,115239571.87997194,31942.157792570848,2,[6.61699181]
2,rbm,15,1002,1,14988541.397478646,1.1232387588097978e-05,5245404612.648208,58918.41766566161,8040653693.547597,65157.629482362376,2,128562505.54448192,63652.70199190335,2,[7.27076021]
3,rbm,15,1502,1,22460892.49366246,1.1230525001844515e-05,7861611444.858817,88290.02388627392,12053190115.217997,97608.69386434063,2,144122138.3673936,95321.72316465888,2,[8.00997807]
4,rbm,15,2002,1,29933242.516724512,1.1229592430177048e-05,10477818176.097893,117661.62767508038,16065728018.732294,130059.74752247796,2,144787301.4663181,127037.74155744204,2,[8.2501492]
5,rbm,15,2502,1,37405592.10962837,1.122903247735018e-05,13094024866.880474,147033.23048943173,20078266516.869118,162510.79688077164,2,167317792.5761792,158698.4873837428,2,[8.71053996]
6,rbm,15,3002,1,44877941.48719936,1.122865900453965e-05,15710231537.416107,176404.83281601017,24090805312.83846,194961.8440863022,2,152243205.4915535,190457.64997669033,2,[8.68607994]
7,rbm,15,3502,1,52350290.741630115,1.1228392154479235e-05,18326438196.37498,205776.43486372542,28103344279.19342,227412.89006061028,2,155446765.1714855,222168.6401093207,2,[8.85828328]
8,rbm,15,4002,1,59822639.91905514,1.122819197110824e-05,20942644848.095093,235148.03673715267,32115883352.104668,259863.9352650812,2,158324168.46814677,253880.58828780966,2,[9.00861523]
9,rbm,15,4502,1,67294989.04512714,1.1228036245756242e-05,23558851494.98857,264519.6384941203,36128422496.13208,292314.9799558348,2,162997816.2392708,285635.8501210091,2,[9.0084649]
10,rbm,15,5002,1,74767338.1352376,1.122791164836093e-05,26175058138.501778,293891.2401698087,40140961689.93305,324766.0242870812,2,163956065.5947329,317332.99987250345,2,[9.18753225]
11,rbm,15,5502,1,82239687.1991872,1.1227809693717755e-05,28791264779.55636,323262.84178629745,44153500919.94019,357217.0683568375,2,169029808.5695821,348976.0200760225,2,[9.4842077]
12,rbm,15,6002,1,89712036.24351576,1.1227724723727078e-05,31407471418.76713,352634.44335824327,48166040177.13951,389668.112230222,2,167885533.55291507,380750.9737768014,2,[9.43364763]
13,rbm,15,6502,1,97184385.27274835,1.1227652820528161e-05,34023678056.55772,382006.0448964524,52178579455.25753,422119.15595254727,2,169618786.8254112,412455.7167710761,2,[9.5521802]
14,rbm,15,7002,1,104656734.2901139,1.1227591185155503e-05,36639884693.236275,411377.6464068936,56191118749.778366,454570.1995564278,2,210386841.4971341,443981.1543905661,2,[10.00850097]
15,rbm,15,7502,1,112129083.2979931,1.1227537764847377e-05,39256091329.01964,440749.24789686565,60203658057.49635,487021.24306502077,2,194093545.13001466,475733.2630884578,2,[10.00838032]
16,rbm,15,8002,1,119601432.29815209,1.1227491019766831e-05,41872297964.08029,470120.84936871246,64216197375.83659,519472.28649691364,2,184436063.9197455,507486.17353256105,2,[10.00822728]
17,rbm,15,8502,1,127073781.29196231,1.1227449772338884e-05,44488504598.54267,499492.4508266053,68228736703.009094,551923.3298650384,2,179576536.2849325,539239.6726843128,2,[10.00819919]
18,rbm,15,9002,1,134546130.2804794,1.1227413106538008e-05,47104711232.510506,528864.0522715766,72241276037.52502,584374.3731801459,2,178155410.88843143,570993.743905431,2,[10.00815646]
19,rbm,15,9502,1,142018479.26453146,1.122738029918964e-05,49720917866.05766,558235.653707002,76253815378.16168,616825.4164510601,2,179208901.4045504,602748.1422135247,2,[10.00837452]
20,rbm,15,10002,1,149490828.2447999,1.1227350771681228e-05,52337124499.24758,587607.2551342038,80266354724.10455,649276.459683669,2,182059816.6342879,634503.3648643058,2,[10.00792454]
0,rbm,15,2,2,407.0535387365566,0.07165020291793914,1676.5610591290176,120.12594009090907,2760.0940792563297,174.1036705832318,2,2115.6785501850063,151.5887974205007,2,[63.6011433]
1,rbm,15,502,2,7516186.031425405,1.1237954976646179e-05,2629197378.239455,29546.80176137117,4028123152.801136,32706.522460048363,2,115989450.3628814,31946.543192165318,2,[6.54333785]
2,rbm,15,1002,2,14988541.397478646,1.1232387588097978e-05,5245404612.648208,58918.41766566161,8040653693.547597,65157.629482362376,2,139362474.6392351,63676.447392875314,2,[7.01017579]
