,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,rbm,9,2,0,347.4911677329006,0.0956612644127612,1238.1335701407938,118.44142283155449,2082.939763416056,171.94641482157152,2,1564.010959768155,149.6152647625345,2,[49.54637959]
1,rbm,9,502,0,810854.4387829731,0.0007192291185053554,35264102.71917402,25362.96951359384,55068390.325547084,28514.384815590965,2,2404046.240103631,27800.190683052053,2,[5.68685618]
2,rbm,9,1002,0,1616997.0738999413,0.0007188728056382706,70354170.97014837,50575.70027366513,109924499.76393065,56806.60053561187,2,2426574.7539962414,55325.67644028269,2,[7.0098722]
3,rbm,9,1502,0,2423139.2594159977,0.0007187536001180489,105444233.89152384,75788.42272122235,164780690.78634915,85098.77908002652,2,2734972.154356463,82868.12455499907,2,[7.58899592]
4,rbm,9,2002,0,3229281.3319403897,0.000718693915531331,140534295.47491854,101001.14308130623,219636902.36627272,113390.94827495352,2,3050448.0176013764,110409.30655521996,2,[8.00887925]
5,rbm,9,2502,0,4035423.359173004,0.0007186580785504116,175624356.5222231,126213.86260491329,274493122.19532734,141683.11372109945,2,3078358.266226849,138009.02160212566,2,[8.00851229]
6,rbm,9,3002,0,4841565.363733182,0.0007186341762905376,210714417.30123565,151426.58170981408,329349346.1561732,169975.27729037756,2,3304281.743071091,165541.07004927512,2,[8.371667]
7,rbm,9,3502,0,5647707.355327971,0.000718617097886671,245804477.92684466,176639.3005753374,384205572.480754,198267.43978622518,2,3389774.903781098,193132.27743301645,2,[8.40913849]
8,rbm,9,4002,0,6453849.338814845,0.0007186042861509274,280894538.4565323,201852.01929125062,439061800.28357536,226559.6016108959,2,3528574.786618305,220696.06537534515,2,[8.56431637]
9,rbm,9,4502,0,7259991.316894864,0.0007185943197283995,315984598.9222637,227064.73790719523,493918029.0729778,254851.76298768813,2,4028232.0968633047,248172.9351329391,2,[9.00817445]
10,rbm,9,5002,0,8066133.291188508,0.0007185863454950996,351074659.3432021,252277.45645336862,548774258.5528817,283143.9240510464,2,3925453.2004891876,275770.30918948614,2,[9.00784997]
