,hamiltonian,nqubits,beta,trial,AA,Psuc,C,C_depth,F,F_depth,F_r,F_fit,F_fit_depth,F_fit_r,F_fit_params
0,rbm,5,2,0,10.082083850563079,0.27791929244995117,19.124538212482957,5.315078128445317,21.02326278891129,7.85892886421108,2,20.58333741034497,5.720506569341684,5,[1000.]
1,rbm,5,502,0,3886.2890154162255,0.03125,21984.170531612835,687.0053291129011,2788.4370555023143,1035.8389920467343,22,1317.1629826972385,720.3875748946716,7,[6.45073002]
2,rbm,5,1002,0,7730.553880519867,0.03125,43730.61656994862,1366.5817678108945,4444.04993725887,1958.1469767870974,29,2042.3609625591632,1390.4137810936413,5,[5.98112232]
3,rbm,5,1502,0,11574.796246448439,0.03125,65476.93533373031,2046.1542291790722,5915.726635111023,2813.5298460143367,33,2760.055780429493,2069.8795916690638,5,[6.45287404]
4,rbm,5,2002,0,15419.032954580272,0.03125,87223.22209218047,2725.7256903806397,7289.29201784428,3641.4061907879027,36,3500.607825657091,2748.852107839967,5,[7.02422133]
5,rbm,5,2502,0,19263.267394279585,0.03125,108969.49601843848,3405.2967505762026,8597.861945593315,4476.830859846367,39,4156.095816376678,3429.4672360189566,5,[6.78514842]
6,rbm,5,3002,0,23107.500698282678,0.03125,130715.76352022853,4084.8676100071416,9859.494494631304,5321.035179116859,42,4902.772895312204,4114.120846031121,9,[15.91521045]
7,rbm,5,3502,0,26951.733352772037,0.03125,152462.02734781403,4764.438354619188,11085.26210901399,6122.939531273154,44,5768.08864006904,4781.016008137512,5,[12.14875777]
8,rbm,5,4002,0,30795.96560107687,0.03125,174208.28887767287,5444.009027427277,12282.04871933253,6928.33681265499,46,6266.113088151574,5474.1599229967305,9,[15.92885166]
9,rbm,5,4502,0,34640.19757847418,0.03125,195954.54887504736,6123.57965234523,13454.660328866568,7737.600682683188,48,7168.076664665516,6144.342202351184,10,[28.36334466]
10,rbm,5,5002,0,38484.429366172575,0.03125,217700.8077993227,6803.1502437288345,14606.900353150975,8550.956914991779,50,7884.113627705554,6825.233541588455,12,[34.89143522]
11,rbm,5,5502,0,42328.66101587126,0.03125,239447.0659429538,7482.720810717306,15741.857314904993,9368.546715956898,52,8318.142154741003,7506.90879626723,5,[7.5811935]
12,rbm,5,6002,0,46172.89256204766,0.03125,261193.32350097442,8162.291359405451,16861.24200026903,10126.917823666789,53,9004.749526964,8186.915007944612,5,[7.45711871]
13,rbm,5,6502,0,50017.124028577105,0.03125,282939.5806084439,8841.861894013871,17967.052219385445,10950.866716887074,55,9697.209495336936,8866.110620622561,5,[7.72131377]
14,rbm,5,7002,0,53861.35543251727,0.03125,304685.83736185485,9521.432417557964,19060.693806171443,11711.786233692852,56,10388.04642885119,9550.410420537384,9,[17.78282651]
15,rbm,5,7502,0,57705.58678637948,0.03125,326432.0938319821,10201.002932249441,20143.766652711252,12542.38333103963,58,11044.1330137705,10228.186097013971,7,[12.80673732]
16,rbm,5,8002,0,61549.818099548735,0.03125,348178.3500719153,10880.573439747353,21216.204907317442,13306.207484063876,59,11785.643123875709,10917.80622826079,11,[18.65555366]
17,rbm,5,8502,0,65394.04937920284,0.03125,369924.6061222582,11560.143941320568,22279.856478363734,14070.827970460952,60,12564.793914008185,11591.626897377064,14,[32.02765482]
18,rbm,5,9002,0,69238.28063092523,0.03125,391670.86201459536,12239.714437956105,23335.32674396204,14836.312978637932,61,13132.498072467493,12268.27129847091,9,[18.58013678]
19,rbm,5,9502,0,73082.51185912432,0.03125,413417.11777386477,12919.284930433274,24383.16044761058,15602.717053963088,62,14134.249561674193,12940.196892465561,11,[34.80776484]
20,rbm,5,10002,0,76926.74306732729,0.03125,435163.3734200189,13598.85541937559,25423.713092768896,16447.131799868792,64,14643.530840596015,13624.47091903083,8,[17.6056929]
0,rbm,5,2,1,11.326160194801712,0.22499744594097137,23.87777776284419,5.372439011386064,25.363688743163085,7.939220039474919,2,25.359961159434608,7.935352632121138,2,[1.04831895]
1,rbm,5,502,1,3886.2890154162255,0.03125,21984.170531612835,687.0053291129011,2753.6724930168734,1059.423546818924,23,1170.2790502539187,726.7434479761196,6,[3.07500921]
2,rbm,5,1002,1,7730.553880519867,0.03125,43730.61656994862,1366.5817678108945,4420.8072707580695,1958.1469767870974,29,1905.401912128362,1398.7413083412664,6,[5.53128167]
3,rbm,5,1502,1,11574.796246448439,0.03125,65476.93533373031,2046.1542291790722,5899.300499795747,2813.5298460143367,33,2648.378231092368,2070.480908520475,6,[9.03991796]
4,rbm,5,2002,1,15419.032954580272,0.03125,87223.22209218047,2725.7256903806397,7277.012492668612,3682.6993188984084,37,3397.0685868073397,2741.160107256163,4,[8.16585057]
5,rbm,5,2502,1,19263.267394279585,0.03125,108969.49601843848,3405.2967505762026,8588.81212337889,4521.972064607508,40,4126.340455628376,3421.401550788614,5,[12.03917286]
6,rbm,5,3002,1,23107.500698282678,0.03125,130715.76352022853,4084.8676100071416,9852.350411281834,5321.035179116859,42,4806.666874308045,4101.171351440675,5,[12.15483452]
7,rbm,5,3502,1,26951.733352772037,0.03125,152462.02734781403,4764.438354619188,11079.822549653087,6122.939531273154,44,5490.28475043279,4780.902646543354,5,[12.25471099]
