,AA,C,C_depth,F,F_depth,F_fit,F_fit_depth,F_fit_params,F_fit_r,F_r,Psuc,beta,hamiltonian,nqubits,trial
0,14.093153210379251,26.73306938339161,7.429635728047648,29.285800200858592,10.94406099850991,28.0875645467455,7.806076065473842,[1000.],6,2,0.27791929244995117,2,rbm,5,0
1,222.65898575723176,1098.0978935754483,45.14809128447964,489.741044976209,86.59345276794707,402.8118647398055,76.26764524071748,[1.75498897],5,6,0.04111481457948685,27,rbm,5,0
2,427.60743103731096,2298.823224483425,79.53987637279809,770.3744623326459,160.0216727063191,559.4219843082165,124.9662285678712,[1.92081795],6,9,0.034600257873535156,52,rbm,5,0
3,631.5974192283326,3509.143431898072,113.6788243962201,989.4438582104283,227.06090693636386,635.5260692538267,152.13469730783862,[2.1770225],5,11,0.03239503502845764,77,rbm,5,0
4,830.5438865139262,4669.119747417212,147.73730054947333,1165.2989801523156,296.43956110373784,699.1452626978217,186.92514993135086,[2.43389695],5,13,0.031641360372304916,102,rbm,5,0
5,1026.0094237111457,5791.604019283231,181.76231213997247,1315.6647244231947,353.8009696386171,792.8815151720006,200.28864962827404,[3.17438224],3,14,0.031383760273456573,127,rbm,5,0
6,1219.6939158863063,6894.589381384568,215.7711164738461,1452.4322675273063,411.40615321218394,811.204357886936,244.65994812853475,[3.02803718],4,15,0.031295716762542725,152,rbm,5,0
7,1412.5651888830266,7988.678140140572,249.77103568839362,1580.707496917078,469.4691999086312,884.9817891727835,287.8387810373871,[3.32413842],5,16,0.03126562759280205,177,rbm,5,0
8,1605.0832519010437,9078.94604216109,283.7655641491164,1702.9621885179859,510.5731457392556,884.5752283558129,325.91701842372674,[2.71361475],5,16,0.031255342066287994,202,rbm,5,0
9,1797.450020394431,10167.615832261148,317.7565546452639,1820.1998013196264,568.9585200398733,1020.9575707350014,354.75911141203017,[5.8570313],6,17,0.031251825392246246,227,rbm,5,0
10,1989.7508599573985,11255.618569985252,351.7450826966317,1933.9571856802183,628.0700059035612,1056.236255813001,382.69371293975394,[5.4831039],5,18,0.03125062212347984,252,rbm,5,0
11,2182.021272078942,12343.334369470324,385.73182004866294,2044.733273249215,667.9796870317128,1150.8696843329074,439.21081769988734,[6.1226349],8,18,0.03125021234154701,277,rbm,5,0
12,2374.276258307173,13430.918730380545,419.7172110058169,2152.170816798611,727.7988280849806,1064.8799514065583,450.73123777137266,[3.21822835],4,19,0.03125007450580597,302,rbm,5,0
13,2566.522542312372,14518.437892334661,453.70156273322897,2257.7859884208056,788.3988476821756,1147.6695533801812,488.2682573984778,[4.84680318],5,20,0.03125002607703209,327,rbm,5,0
14,2758.763172867403,15605.919317407603,487.68509494214726,2360.502539913822,827.7230746004401,1224.9367888903512,519.0478402787081,[5.81930902],5,20,0.0312500074505806,352,rbm,5,0
15,2950.9994924337084,16693.37302402094,521.6679691883149,2461.9460609420935,889.1525135930078,1195.1202477085433,607.5625297709765,[2.54903537],8,21,0.0312500037252903,377,rbm,5,0
16,3143.2328019277625,17780.809832728904,555.6503072727783,2560.8437460888777,928.0865661734123,1426.0192759992187,580.4844317274852,[11.58372652],6,21,0.03125,402,rbm,5,0
17,3335.4634302535223,18868.23047945607,589.6322024830022,2658.7246214490074,966.6328569708481,1343.6358252430493,635.6424860199135,[6.60221696],7,21,0.03125,427,rbm,5,0
18,3527.6919658289785,19955.639287799786,623.6137277437433,2754.6166457807517,1029.0370979414456,1277.9693511217931,681.4761923607581,[2.88836825],6,22,0.03125,452,rbm,5,0
19,3719.918735112689,21043.038104488536,657.5949407652668,2849.3542287573823,1067.3565012081444,1342.8960912575617,689.437474064244,[3.43914742],4,22,0.03125,477,rbm,5,0
20,3912.144000018108,22130.428411128552,691.5758878477673,2942.9261987882187,1130.668377889104,1352.2867286859366,750.018379672073,[2.90146408],6,23,0.03125,502,rbm,5,0
0,15.751850554815135,33.208005222637986,7.471716359887985,35.16826572228591,11.007918721398724,35.168265194627224,11.00791869713738,[1.00000056],2,2,0.22499744594097137,2,rbm,5,1
1,255.9460441073928,1447.2545467095804,45.26389476071135,591.6779265326336,94.85107195678312,474.7378675717756,69.4618659726508,[1.66330931],4,7,0.03127569705247879,27,rbm,5,1
2,450.20822746987363,2546.761413926693,79.58635110976269,789.7598356653749,170.35847677818,608.561294933217,115.92610752884593,[3.55111021],6,10,0.03125002235174179,52,rbm,5,1
3,643.1601121536323,3638.263013540271,113.69571917313347,960.8983637673565,239.00568252623327,592.1991395334908,131.1424708071184,[2.9641013],3,12,0.03125,77,rbm,5,1
4,835.7619274997044,4727.7834111406455,147.74323159814517,1116.129977941968,309.80543609415736,646.2468273831854,165.61208828685372,[3.16198595],3,14,0.03125,102,rbm,5,1
5,1028.2145286583188,5816.459725830617,181.76436643220677,1260.3228324484076,368.3809591075899,682.4992693365857,233.563792796521,[2.36398635],6,15,0.03125,127,rbm,5,1
6,1220.5897594538997,6904.698367653676,215.77182398917736,1396.2379735291472,427.0926104663685,755.8107321906745,277.91334452595083,[2.65584678],7,16,0.03125,152,rbm,5,1
